feature_,R^2
,
x85,0.163
x302,0.239
x356,0.254
x155,0.278
x783,0.294
x476,0.316
x507,0.32
x687,0.319
x315,0.327
x309,0.334
x371,0.341
x214,0.341
x344,0.352
x103,0.352
x456,0.356
x508,0.359
x187,0.358
x669,0.357
x594,0.379
x624,0.38
x723,0.383
x779,0.384
x486,0.387
x768,0.388
x284,0.389
x23,0.391
x814,0.391
x664,0.393
x95,0.394
x767,0.396
x689,0.396
x543,0.399
x531,0.401
x795,0.402
x110,0.403
x403,0.405
x199,0.406
x769,0.407
x525,0.408
x197,0.408
x24,0.409
x683,0.41
x310,0.412
x311,0.412
x194,0.414
x181,0.414
x459,0.415
x737,0.416
x203,0.417
x808,0.418
x374,0.419
x162,0.42
x345,0.421
x500,0.421
x89,0.421
x605,0.422
x6,0.421
x333,0.422
x452,0.423
x743,0.425
x610,0.425
x703,0.426
x272,0.426
x318,0.426
x397,0.427
x756,0.427
x268,0.428
x591,0.43
x481,0.429
x468,0.43
x739,0.431
x391,0.43
x770,0.431
x760,0.431
x533,0.432
x307,0.43
x60,0.433
x570,0.434
x390,0.435
x253,0.436
x379,0.436
x10,0.433
x364,0.444
x317,0.444
x135,0.445
x104,0.446
x81,0.447
x291,0.448
x279,0.457
x695,0.463
x290,0.463
x451,0.465
x1,0.466
x672,0.467
x411,0.48
x351,0.489
x105,0.489
x120,0.49
x722,0.492
x794,0.494
x655,0.495
x534,0.496
x550,0.496
x299,0.499
x714,0.5
x252,0.501
x627,0.502
x229,0.503
x454,0.506
x801,0.507
x673,0.509
x420,0.51
x106,0.511
x593,0.513
x802,0.513
x260,0.514
x657,0.514
x789,0.515
x43,0.518
x287,0.521
x115,0.523
x726,0.523
x575,0.528
x409,0.531
x394,0.533
x58,0.535
x382,0.538
x690,0.54
x537,0.544
x588,0.547
x198,0.547
x227,0.549
x131,0.55
x506,0.552
x293,0.554
x174,0.557
x35,0.557
x668,0.558
x579,0.56
x745,0.563
x482,0.566
x129,0.571
x546,0.571
x184,0.577
x540,0.578
x761,0.588
x685,0.593
x187:x187,0.61
x723:x198,0.617
x726:x482,0.626
x575:x198,0.629
x198:x745,0.629
x198:x482,0.629
x534:x198,0.629
x476:x198,0.629
x411:x198,0.629
x579:x482,0.63
x783:x507,0.63
x10:x482,0.631
x198:x35,0.631
x783:x198,0.631
x783:x745,0.631
x411:x745,0.63
x507:x534,0.63
x745:x482,0.63
x507:x198,0.629
x476:x745,0.629
x198:x198,0.628
x745:x745,0.632
x227:x482,0.631
x356:x507,0.631
x198:x685,0.631
x411:x579,0.632
x356:x745,0.631
x482:x546,0.632
x214:x198,0.631
x356:x664,0.631
x507:x371,0.634
x664:x35,0.634
x10:x411,0.635
x664:x129,0.635
x723:x745,0.635
x723:x534,0.637
x783:x411,0.637
x356:x534,0.637
x672:x454,0.637
x356:x198,0.641
x199:x198,0.641
x534:x534,0.641
x507:x199,0.641
x482:x685,0.642
x723:x664,0.642
x199:x745,0.642
x198:x540,0.642
x476:x507,0.642
x575:x745,0.642
x534:x745,0.643
x10:x198,0.644
x214:x279:x198,0.644
x155:x198:x35,0.67
x85:x411:x745,0.676
x302:x199:x745,0.677
x155:x214:x198,0.677
x85:x783:x411,0.678
x85:x356:x745,0.679
x279:x411:x745,0.679
x279:x575:x745,0.678
x85:x534:x745,0.678
x85:x10:x411,0.677
x85:x356:x534,0.677
x785:x214:x198,0.676
x155:x575:x745,0.675
x302:x411:x745,0.676
x785:x575:x745,0.676
x279:x198:x745,0.674
x155:x199:x745,0.678
x279:x198:x198,0.677
x85:x575:x745,0.676
x85:x534:x534,0.676
x155:x411:x745,0.675
x155:x198:x745,0.675
x199:x279:x198,0.677
x785:x10:x411,0.677
x155:x199:x198,0.677
x199:x279:x745,0.675
x785:x411:x745,0.676
x507:x344:x199,0.676
x155:x10:x198,0.678
x356:x344:x745,0.677
x507:x279:x198,0.676
x723:x279:x745,0.676
x85:x214:x198,0.677
x785:x199:x745,0.677
x155:x534:x745,0.678
x302:x356:x745,0.678
x302:x723:x534,0.676
x785:x198:x540,0.676
x155:x411:x198,0.674
x85:x723:x534,0.676
x356:x344:x534,0.676
x81:x411:x745,0.676
x344:x199:x745,0.674
x279:x411:x198,0.674
x155:x575:x198,0.672
x279:x575:x198,0.672
x10:x279:x411,0.672
x507:x199:x279,0.672
x155:x534:x198,0.672
x279:x534:x198,0.672
x785:x723:x10:x411:x198,0.672
x85:x575:x575:x198:x745,0.716
x85:x199:x575:x745:x745,0.716
x356:x155:x507:x214:x198,0.716
x155:x723:x10:x198:x745,0.713
x155:x507:x214:x534:x198,0.713
x785:x723:x198:x745:x540,0.712
x155:x723:x575:x745:x745,0.712
x785:x723:x411:x198:x745,0.712
x85:x783:x507:x575:x745,0.712
x155:x507:x199:x198:x745,0.712
x356:x155:x507:x575:x198,0.71
x155:x507:x199:x534:x198,0.711
x155:x507:x575:x198:x745,0.711
x302:x507:x723:x534:x534,0.711
x155:x575:x575:x745:x745,0.711
x155:x507:x214:x199:x198,0.711
x155:x723:x198:x745:x745,0.711
x155:x507:x534:x575:x198,0.711
x85:x10:x575:x198:x745,0.711
x302:x476:x507:x723:x534,0.711
x85:x476:x575:x745:x745,0.711
x155:x507:x214:x198:x198,0.711
x155:x507:x199:x411:x198,0.711
x85:x476:x507:x575:x745,0.711
x155:x507:x199:x10:x198,0.711
x785:x507:x199:x198:x745,0.711
x155:x723:x10:x534:x198,0.711
x155:x723:x10:x198:x198,0.711
x155:x507:x575:x198:x198,0.711
x85:x575:x198:x745:x482,0.711
x785:x723:x199:x198:x745,0.711
x785:x723:x534:x575:x745,0.711
x785:x507:x214:x199:x198,0.711
x155:x507:x534:x198:x198,0.711
x155:x214:x534:x534:x198,0.711
x785:x723:x575:x745:x745,0.711
x785:x507:x199:x198:x540,0.711
x155:x723:x411:x198:x745,0.711
x155:x214:x199:x198:x745,0.711
x85:x575:x198:x745:x745,0.711
x155:x723:x534:x198:x745,0.711
x155:x723:x411:x534:x198,0.711
x155:x534:x198:x745:x685,0.711
x155:x507:x199:x198:x35,0.71
x302:x723:x723:x534:x534,0.71
x155:x507:x371:x199:x198,0.71
x155:x199:x575:x745:x745,0.71
x356:x344:x575:x198:x745,0.71
x302:x507:x371:x723:x534,0.707
x155:x575:x198:x745:x685,0.707
x85:x199:x726:x575:x745:x745:x482,0.706
x85:x199:x575:x690:x745:x745,0.706
x155:x199:x575:x745:x745:x184,0.731
x85:x199:x199:x279:x575:x745:x745:x745,0.734
x85:x476:x199:x279:x575:x745:x745:x745,0.734
x85:x199:x279:x411:x575:x745:x745:x745,0.734
x85:x199:x279:x575:x575:x745:x745:x745,0.734
x85:x199:x10:x279:x411:x575:x745:x745,0.734
x85:x723:x199:x279:x575:x745:x745:x745,0.734
x85:x199:x575:x745:x745:x184,0.734
x85:x575:x690:x198:x745:x482,0.733
x155:x199:x575:x745:x745:x482:x685,0.733
x302:x476:x507:x723:x199:x279:x534:x745,0.728
x302:x476:x507:x507:x723:x199:x279:x534,0.726
x85:x199:x575:x579:x745:x745:x482,0.726
x85:x669:x199:x575:x745:x745,0.726
x302:x507:x507:x723:x199:x279:x534:x534,0.726
x302:x507:x723:x199:x279:x534:x534:x745,0.726
x302:x507:x371:x723:x199:x279:x534:x745,0.726
x302:x507:x507:x371:x723:x199:x279:x534,0.726
x85:x476:x669:x575:x745:x745,0.726
x85:x199:x575:x745:x745:x482:x685,0.726
x85:x575:x575:x198:x745:x184,0.726
x155:x199:x575:x690:x745:x745,0.726
x85:x575:x198:x745:x482:x482:x685,0.726
x302:x507:x723:x723:x199:x279:x534:x534,0.726
x85:x199:x279:x575:x198:x745:x745:x745,0.726
x85:x476:x279:x575:x198:x745:x745:x745,0.726
x85:x10:x575:x198:x745:x184,0.726
x85:x10:x279:x575:x198:x745,0.726
x85:x199:x10:x279:x575:x198:x745:x745,0.726
x85:x476:x279:x411:x575:x198:x745:x745,0.726
x85:x10:x279:x575:x575:x198:x745:x745,0.726
x155:x779:x199:x575:x745:x745,0.726
x85:x279:x575:x198:x198:x745:x745:x745,0.726
x85:x279:x575:x575:x198:x745:x745:x745,0.726
x85:x199:x672:x575:x745:x745,0.726
x85:x476:x507:x279:x534:x575:x198:x745,0.726
x85:x476:x507:x575:x690:x745,0.726
x85:x476:x507:x279:x575:x198:x745:x745,0.726
x85:x199:x279:x411:x575:x198:x745:x745,0.726
x85:x10:x279:x411:x575:x575:x198:x745,0.726
x85:x279:x411:x575:x575:x198:x745:x745,0.726
x85:x476:x507:x279:x411:x575:x198:x745,0.726
x85:x10:x279:x575:x198:x198:x745:x745,0.726
x85:x279:x411:x575:x198:x198:x745:x745,0.726
x85:x476:x279:x534:x575:x198:x745:x745,0.726
x155:x199:x279:x411:x575:x745:x745:x745,0.726
x85:x507:x199:x279:x575:x198:x745:x745,0.726
x155:x507:x199:x690:x198:x35,0.726
x85:x476:x279:x411:x575:x745:x745:x745,0.726
